ID,Barcode,Nombre,UsageType (Masculino/Femenino/Universal),TargetAnatomy (Prostata/Clitoris/Vaginal/Anal/Universal),StimulationType (Vibracion/Succion/Empuje/Calentamiento/Interactivo),MotorLogic (Single Channel/Dual Channel),DB_Id,RealTitle,Pics,CateId,Qrcode,SupportedFuncs,Wireless,FactoryId,IsEncrypt,IsPrecise,BroadcastPrefix,BleName
8035,8035,AAZD173,Universal,Anal,Interactivo,Dual Channel (0xD + 0xA),0,,https://image.zlmicro.com/images/product/20250519/20250519165851065.jpg,2,https://image.zlmicro.com/images/product/20250519/202505191658580838035.png,classic|finger|game|intera|music|shake|video,2.4G,93,No,0-255,77 62 4d 53 45,
8037,8037,AATD293,Universal,Anal,Interactivo,Dual Channel (0xD + 0xA),0,,https://image.zlmicro.com/images/product/20230428/20230428115836136.png,3,https://image.zlmicro.com/images/product/qrcode/8037.png,classic|explore|finger|game|intera|music|shake|video,2.4G,93,No,0-255,77 62 4d 53 45,
8039,8039,AAGS023,Universal,Anal,Vibración,Dual Channel (0xD + 0xA),0,,https://image.zlmicro.com/images/product/20230307/20230307154359518.png,13,https://image.zlmicro.com/images/product/qrcode/8039.png,classic|explore|finger|game|intera|music|shake|video,2.4G,149,No,Estándar,77 62 4d 53 45,
8040,8040,XMan030(CD-C2)-M,Universal,Anal,Interactivo,Dual Channel (0xD + 0xA),0,XMan030(CD-C2)-M,https://image.zlmicro.com/images/product/20240102/20240102103929114.png,4,https://image.zlmicro.com/images/product/qrcode/8040.png,classic|explore|finger|game|intera|music|shake|video,2.4G,77,No,0-255,77 62 4d 53 45,
8041,8041,RAHT007,Universal,Anal,Interactivo,Dual Channel (0xD + 0xA),0,,https://image.zlmicro.com/images/product/20230629/20230629092716312.png,4,https://image.zlmicro.com/images/product/qrcode/8041.png,classic|explore|finger|game|intera|music|shake|video,2.4G,35,No,0-255,77 62 4d 53 45,
8042,8042,GM006,Universal,Anal,Interactivo,Dual Channel (0xD + 0xA),0,GM006,https://image.zlmicro.com/images/product/20230208/20230208114816961.jpg,3,https://image.zlmicro.com/images/product/qrcode/8042.png,classic|explore|finger|game|intera|music|shake|video,2.4G,110,No,0-255,77 62 4d 53 45,
8044,8044,AASJ232,Universal,Anal,Vibración,Dual Channel (0xD + 0xA),0,,https://image.zlmicro.com/images/product/20250307/20250307172833813.jpg,10,https://image.zlmicro.com/images/product/qrcode/8044.png,classic|finger|game|intera|music|shake|video,2.4G,82,No,0-255,77 62 4d 53 45,
8045,8045,AASJ258,Universal,Anal,Vibración,Dual Channel (0xD + 0xA),0,,https://image.zlmicro.com/images/product/20250604/20250604135852055.png,10,https://image.zlmicro.com/images/product/20250604/202506041359002258045.png,classic|finger|game|intera|music|shake|video,2.4G,253,No,0-255,77 62 4d 53 45,
8053,8053,JY021,Universal,Anal,Interactivo,Dual Channel (0xD + 0xA),0,JY021,https://image.zlmicro.com/images/product/20220517/20220517142552998.png,3,https://image.zlmicro.com/images/product/qrcode/8053.png,classic|explore|finger|game|intera|music|shake|video|voice,2.4G,53,No,0-255,77 62 4d 53 45,
8055,8055,AATD546,Universal,Anal,Interactivo,Dual Channel (0xD + 0xA),0,,https://image.zlmicro.com/images/product/20240418/20240418093551537.jpg,3,https://image.zlmicro.com/images/product/qrcode/8055.png,classic|explore|finger|game|intera|music|shake|video,2.4G,290,No,0-255,77 62 4d 53 45,
8070,8070,YCTD017,Universal,Anal,Interactivo,Dual Channel (0xD + 0xA),0,,https://image.zlmicro.com/images/product/20231107/20231107133406487.png,3,https://image.zlmicro.com/images/product/qrcode/8070.png,classic|explore|finger|game|intera|music|shake|video,2.4G,48,No,0-255,77 62 4d 53 45,
8071,8071,WB-0822B,Universal,Anal,Interactivo,Dual Channel (0xD + 0xA),0,WB-0822B,https://image.zlmicro.com/images/product/20230914/20230914093715613.png,3,https://image.zlmicro.com/images/product/qrcode/8071.png,classic|explore|finger|game|intera|music|shake|video,2.4G,77,No,0-255,77 62 4d 53 45,
8073,8073,ROCKET,Universal,Anal,Interactivo,Dual Channel (0xD + 0xA),0,ROCKET,https://image.zlmicro.com/images/product/20230331/20230331105244845.png,3,https://image.zlmicro.com/images/product/qrcode/8073.png,classic|explore|finger|game|intera|music|shake|video,BLE,192,No,0-255,77 62 4d 53 45,ROCKET
8075,8075,AATD652,Universal,Anal,Interactivo,Dual Channel (0xD + 0xA),0,,https://image.zlmicro.com/images/product/20240827/20240827103203952.png,3,https://image.zlmicro.com/images/product/qrcode/8075.png,classic|explore|finger|game|intera|music|shake|video,2.4G,169,No,0-255,77 62 4d 53 45,
8078,8078,Osito,Universal,Anal,Interactivo,Dual Channel (0xD + 0xA),0,小熊,https://image.zlmicro.com/images/product/20230609/20230609113530617.png,3,https://image.zlmicro.com/images/product/qrcode/8078.png,classic|explore|finger|game|intera|music|shake|video,2.4G,131,No,0-255,77 62 4d 53 45,
8080,8080,AAGS036,Universal,Anal,Vibración,Dual Channel (0xD + 0xA),0,,https://image.zlmicro.com/images/product/20230512/20230512103145744.png,13,https://image.zlmicro.com/images/product/qrcode/8080.png,classic|explore|finger|game|intera|music|shake|video,2.4G,149,No,0-255,77 62 4d 53 45,
8083,8083,YEHT022,Universal,Anal,Interactivo,Dual Channel (0xD + 0xA),0,,https://image.zlmicro.com/images/product/20231114/20231114094845723.jpg,4,https://image.zlmicro.com/images/product/qrcode/8083.png,classic|explore|finger|game|intera|music|shake|video,2.4G,14,No,0-255,77 62 4d 53 45,
8084,8084,RC-APP-04,Universal,Anal,Interactivo,Dual Channel (0xD + 0xA),0,RC-APP-04,https://image.zlmicro.com/images/product/20220331/20220331133706317.png,4,https://image.zlmicro.com/images/product/qrcode/8084.png,classic|explore|finger|game|intera|music|shake|video,2.4G,65,No,0-255,77 62 4d 53 45,
8088,8088,S5玫瑰花,Universal,Anal,Interactivo,Dual Channel (0xD + 0xA),0,S5玫瑰花,https://image.zlmicro.com/images/product/20220304/20220304143428741.png,1,https://image.zlmicro.com/images/product/qrcode/8088.png,classic|explore|finger|game|intera|music|shake|video,BLE,0,No,Estándar,77 62 4d 53 45,
8089,8089,艾余CL1910,Universal,Anal,Interactivo,Dual Channel (0xD + 0xA),0,艾余CL1910,https://image.zlmicro.com/images/product/20211014/20211014113241303.png,3,https://image.zlmicro.com/images/product/qrcode/8089.png,classic|explore|finger|game|intera|music|video,2.4G,50,No,0-255,77 62 4b 96 65,
8093,8093,AAFJ098,Universal,Anal,Interactivo,Dual Channel (0xD + 0xA),0,,https://image.zlmicro.com/images/product/20241121/20241121143314998.png,1,https://image.zlmicro.com/images/product/qrcode/8093.png,classic|explore|finger|game|intera|music|shake|video|voice,2.4G,30,No,0-255,77 62 4d 53 45,
8095,8095,ZAHT095,Universal,Anal,Interactivo,Dual Channel (0xD + 0xA),0,,https://image.zlmicro.com/images/product/20250403/20250403161404187.png,4,https://image.zlmicro.com/images/product/20250403/202504031614175868095.png,classic|finger|game|intera|music|shake|video,2.4G,22,No,0-255,77 62 4d 53 45,
8097,8097,ZAGS024,Universal,Anal,Vibración,Dual Channel (0xD + 0xA),0,,https://image.zlmicro.com/images/product/20241210/20241210094448475.jpg,13,https://image.zlmicro.com/images/product/qrcode/8097.png,classic|explore|finger|game|intera|music|shake|video,2.4G,32,No,0-255,77 62 4d 53 45,
8099,8099,AAFJ102,Universal,Anal,Interactivo,Dual Channel (0xD + 0xA),0,,https://image.zlmicro.com/images/product/20241206/20241206162818125.png,1,https://image.zlmicro.com/images/product/qrcode/8099.png,classic|explore|finger|game|intera|music|shake|video|voice,2.4G,116,No,0-255,77 62 4d 53 45,
8100,8100,AASJ267,Universal,Anal,Vibración,Dual Channel (0xD + 0xA),0,,https://image.zlmicro.com/images/product/20250626/20250626102454180.png,10,https://image.zlmicro.com/images/product/20250626/202506261025022518100.png,classic|finger|game|intera|music|shake|video,2.4G,362,No,0-255,77 62 4d 53 45,
8101,8101,ZAGS013,Universal,Anal,Vibración,Dual Channel (0xD + 0xA),0,,https://image.zlmicro.com/images/product/20240111/20240111161022392.png,13,https://image.zlmicro.com/images/product/qrcode/8101.png,classic|explore|finger|game|intera|music|shake|video,2.4G,118,No,0-255,77 62 4d 53 45,
8104,8104,AATD616,Universal,Anal,Interactivo,Dual Channel (0xD + 0xA),0,,https://image.zlmicro.com/images/product/20240807/20240807103904768.png,3,https://image.zlmicro.com/images/product/qrcode/8104.png,classic|explore|finger|game|intera|music|shake|video,2.4G,48,No,0-255,77 62 4d 53 45,
8107,8107,AAZD023,Universal,Anal,Interactivo,Dual Channel (0xD + 0xA),0,,https://image.zlmicro.com/images/product/20230311/20230311095510137.png,2,https://image.zlmicro.com/images/product/qrcode/8107.png,classic|explore|finger|game|intera|music|shake|video,2.4G,177,No,0-255,77 62 4d 53 45,
8109,8109,谦度TD001,Universal,Anal,Interactivo,Dual Channel (0xD + 0xA),0,,https://image.zlmicro.com/images/product/20260202/20260202173859650.jpg,3,https://zlmicro.oss-cn-shenzhen.aliyuncs.com/images/qrcode/8109.png,classic|finger|game|intera|music|shake|video,2.4G,0,No,0-255,77 62 4d 53 45,
8110,8110,R3,Femenino,Anal,Interactivo,Dual Channel (0xD + 0xA),0,R3,https://image.zlmicro.com/images/product/20230608/20230608145117967.png,4,https://image.zlmicro.com/images/product/qrcode/8110.png,classic|explore|finger|game|heating|intera|music|shake|video,2.4G,8,No,0-255,77 62 4d 53 45,
8111,8111,AAPJ008,Universal,Anal,Interactivo,Dual Channel (0xD + 0xA),0,,https://image.zlmicro.com/images/product/20251222/20251222094659715.png,9,https://image.zlmicro.com/images/product/20251222/202512220948003008111.png,classic|finger|game|intera|music|shake|video,2.4G,227,No,0-255,77 62 4d 53 45,
8112,8112,AAFJ105,Universal,Anal,Interactivo,Dual Channel (0xD + 0xA),0,,https://image.zlmicro.com/images/product/20250306/20250306113100870.jpg,1,https://image.zlmicro.com/images/product/qrcode/8112.png,classic|finger|game|intera|music|shake|video,2.4G,176,No,Estándar,77 62 4d 53 45,
8114,8114,AAQLX003,Universal,Anal,Interactivo,Dual Channel (0xD + 0xA),0,,https://image.zlmicro.com/images/product/20260106/20260106101513114.png,16,https://image.zlmicro.com/images/product/20260105/202601051410567208114.png,classic|finger|game|intera|music|shake|video,2.4G,255,No,0-255,77 62 4d 53 45,
8122,8122,MATD021,Universal,Anal,Interactivo,Dual Channel (0xD + 0xA),0,,https://image.zlmicro.com/images/product/20241008/20241008161751291.png,3,https://image.zlmicro.com/images/product/qrcode/8122.png,classic|explore|finger|game|intera|music|shake|video,2.4G,8,No,0-255,77 62 4d 53 45,
8124,8124,AASJ103,Universal,Anal,Vibración,Dual Channel (0xD + 0xA),0,,https://image.zlmicro.com/images/product/20230712/20230712101148350.png,10,https://image.zlmicro.com/images/product/qrcode/8124.png,classic|explore|finger|game|intera|music|shake|video,2.4G,202,No,0-255,77 62 4d 53 45,
8125,8125,AAHT126,Universal,Anal,Interactivo,Dual Channel (0xD + 0xA),0,,https://image.zlmicro.com/images/product/20230426/20230426170804578.png,4,https://image.zlmicro.com/images/product/qrcode/8125.png,classic|explore|finger|game|intera|music|shake|video,2.4G,207,No,0-255,77 62 4d 53 45,
8127,8127,AATD465,Universal,Anal,Interactivo,Dual Channel (0xD + 0xA),0,,https://image.zlmicro.com/images/product/20231202/20231202153011885.png,3,https://image.zlmicro.com/images/product/qrcode/8127.png,classic|explore|finger|game|intera|music|shake|video,2.4G,20,No,0-255,77 62 4d 53 45,
8129,8129,AASJ077,Universal,Anal,Vibración,Dual Channel (0xD + 0xA),0,,https://image.zlmicro.com/images/product/20230202/20230202093704921.png,10,https://image.zlmicro.com/images/product/qrcode/8129.png,classic|explore|finger|game|intera|music|shake|video,2.4G,0,No,0-255,77 62 4d 53 45,
8131,8131,YCGS001,Universal,Anal,Vibración,Dual Channel (0xD + 0xA),0,,https://image.zlmicro.com/images/product/20230203/20230203100705391.png,13,https://image.zlmicro.com/images/product/qrcode/8131.png,classic|explore|finger|game|intera|music|shake|video,2.4G,149,No,Estándar,77 62 4d 53 45,
8144,8144,TD001,Universal,Anal,Interactivo,Dual Channel (0xD + 0xA),0,,https://image.zlmicro.com/images/product/20250625/20250625111638817.jpg,3,https://image.zlmicro.com/images/product/20250623/202506231432454398144.png,classic|finger|game|intera|music|shake|video,2.4G,132,No,0-255,77 62 4d 53 45,
8148,8148,HCTC-SJH011,Universal,Anal,Vibración,Dual Channel (0xD + 0xA),0,HCTC-SJH011,https://image.zlmicro.com/images/product/20230519/20230519114325370.png,10,https://image.zlmicro.com/images/product/qrcode/8148.png,classic|explore|finger|game|intera|music|shake|video,2.4G,157,No,0-255,77 62 4d 53 45,
8153,8153,AATD734,Universal,Anal,Interactivo,Dual Channel (0xD + 0xA),0,,https://image.zlmicro.com/images/product/20241213/20241213113841945.png,3,https://image.zlmicro.com/images/product/qrcode/8153.png,classic|explore|finger|game|intera|music|shake|video,2.4G,257,No,Estándar,77 62 4d 53 45,
8154,8154,骑士3号,Universal,Anal,Vibración,Dual Channel (0xD + 0xA),0,骑士3号,https://image.zlmicro.com/images/product/20240920/20240920102355033.png,13,https://image.zlmicro.com/images/product/qrcode/8154.png,classic|explore|finger|game|intera|music|shake|video,2.4G,253,No,0-255,77 62 4d 53 45,
8155,8155,0067,Universal,Anal,Vibración,Dual Channel (0xD + 0xA),0,0067,https://image.zlmicro.com/images/product/20230327/20230327133739797.jpg,13,https://image.zlmicro.com/images/product/qrcode/8155.png,classic|explore|finger|game|intera|music|shake|video,2.4G,0,No,0-255,77 62 4d 53 45,
8157,8157,AAHT187,Universal,Anal,Interactivo,Dual Channel (0xD + 0xA),0,,https://image.zlmicro.com/images/product/20230829/20230829104414163.png,4,https://image.zlmicro.com/images/product/qrcode/8157.png,classic|explore|finger|game|intera|music|shake|video,2.4G,167,No,0-255,77 62 4d 53 45,
8158,8158,AAHT002,Universal,Anal,Interactivo,Dual Channel (0xD + 0xA),0,,https://image.zlmicro.com/images/product/20251117/20251117163911011.jpg,4,https://image.zlmicro.com/images/product/20251117/202511171639148708158.png,classic|finger|game|intera|music|shake|video,2.4G,389,No,0-255,77 62 4d 53 45,
8159,8159,AAHT002,Universal,Anal,Interactivo,Dual Channel (0xD + 0xA),0,,https://image.zlmicro.com/images/product/20260227/20260227173737375.png,4,https://image.zlmicro.com/images/product/20260227/202602271736194718159.png,classic|finger|game|intera|music|shake|video,2.4G,158,No,0-255,77 62 4d 53 45,
8170,8170,ZAYJ030,Universal,Anal,Interactivo,Dual Channel (0xD + 0xA),0,,https://image.zlmicro.com/images/product/20240806/20240806154235582.png,8,https://image.zlmicro.com/images/product/qrcode/8170.png,classic|explore|finger|game|intera|music|shake|video,2.4G,221,No,0-255,77 62 4d 53 45,
